,Name,Date,Rate,Votes,Genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Duration,Type,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
36,Last Man Down,2021,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,Film,R,No Rate,No Rate,No Rate,No Rate,No Rate
283,The Dark Knight Rises,2012,8.4,1583199,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1420,Army of One,2020,4.7,4288,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
1907,Bullet Train,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
3143,Argylle,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
4003,Argylle,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
281,Untitled Indiana Jones Project,2022,NA,NA,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
508,Raiders of the Lost Ark,1981,8.4,919273,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,PG,Mild,Moderate,Mild,Mild,Moderate
553,Uncharted,2022,NA,NA,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
566,Batman Begins,2005,8.2,1364161,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Film,PG-13,None,Moderate,Mild,Mild,Moderate
739,Batman,1989,7.5,352836,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
999,Indiana Jones and the Last Crusade,1989,8.2,719054,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1004,Batman Forever,1995,5.4,241869,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
1157,Indiana Jones and the Temple of Doom,1984,7.5,466305,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG,Mild,Moderate,Mild,Mild,Severe
1391,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,438879,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Film,PG-13,None,Moderate,Mild,Mild,Moderate
1661,First Blood,1982,7.7,238730,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Film,R,Mild,Moderate,Moderate,Mild,Moderate
1417,In the Heart of the Sea,2015,6.9,130763,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Film,PG-13,None,Moderate,Mild,Mild,Moderate
1520,Everest,2015,7.1,208657,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,None,Mild,None,Mild,Moderate
2932,Jungle,2017,6.7,53145,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,R,Mild,Mild,Moderate,Mild,Moderate
3134,Adrift,2018,6.6,52099,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Mild,Mild,Mild,Moderate
3792,Jungle,2017,6.7,53145,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,R,Mild,Mild,Moderate,Mild,Moderate
3994,Adrift,2018,6.6,52099,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Mild,Mild,Mild,Moderate
6,Free Guy,2021,7.3,153835,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,PG-13,Mild,Moderate,Moderate,None,Mild
29,The Suicide Squad,2021,7.3,224344,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,Film,R,Moderate,Severe,Severe,Moderate,Severe
74,Jungle Cruise,2021,6.6,113396,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Film,PG-13,None,Moderate,None,Mild,Moderate
192,The King's Man,2021,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,R,No Rate,No Rate,No Rate,No Rate,No Rate
206,Kingsman: The Secret Service,2014,7.7,618626,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,Film,R,Mild,Severe,Severe,Mild,Moderate
214,Deadpool,2016,8,952331,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Film,R,Severe,Severe,Severe,Mild,Moderate
243,Charlie's Angels,2019,4.9,65160,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
247,Guardians of the Galaxy,2014,8,1097476,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
251,Thor: Ragnarok,2017,7.9,650481,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
362,Deadpool 2,2018,7.7,520665,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Film,R,Moderate,Severe,Severe,Moderate,Moderate
403,Jumanji: The Next Level,2019,6.7,216424,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,Film,PG-13,Mild,Mild,Moderate,None,Moderate
411,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,210807,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,Film,R,Mild,Severe,Severe,Moderate,Moderate
440,Men in Black,1997,7.3,537337,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
485,Love and Monsters,2020,7,109343,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,Film,PG-13,Mild,Mild,Mild,Mild,Mild
507,The VelociPastor,2018,5.1,4727,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
601,The Blues Brothers,1980,7.9,190627,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,Film,R,Mild,Mild,Moderate,Mild,Mild
606,Guardians of the Galaxy Vol. 2,2017,7.6,613520,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
615,Kingsman: The Golden Circle,2017,6.7,293541,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Film,R,Moderate,Severe,Severe,Moderate,Mild
646,Knight and Day,2010,6.3,186692,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
676,Jumanji: Welcome to the Jungle,2017,6.9,346284,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Film,PG-13,Mild,Mild,Mild,Mild,Mild
768,Ant-Man,2015,7.3,609889,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,Film,PG-13,None,Mild,Mild,Mild,Mild
793,Shazam!,2019,7,296642,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,Film,PG-13,None,Moderate,Mild,Mild,Moderate
816,Big Trouble in Little China,1986,7.3,131632,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Film,PG-13,Mild,Moderate,Moderate,Mild,Moderate
917,Sonic the Hedgehog,2020,6.5,106840,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Film,PG,None,Mild,Mild,Mild,Mild
925,The Man from U.N.C.L.E.,2015,7.3,291228,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
1080,Men in Black II,2002,6.2,356862,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Film,PG-13,Moderate,Moderate,Mild,Mild,Mild
1181,Spy Kids,2001,5.5,112894,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Film,PG,None,Mild,None,None,Mild
1217,Ant-Man and the Wasp,2018,7,347601,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG-13,None,Mild,Mild,None,Mild
1238,Austin Powers: The Spy Who Shagged Me,1999,6.6,224420,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,Film,PG-13,Moderate,Mild,Moderate,None,None
1390,Teenage Mutant Ninja Turtles,1990,6.8,89381,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Film,PG,None,Mild,Mild,Mild,Mild
1398,Borderlands,2022,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
1407,Charlie's Angels,2000,5.6,182438,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
1555,The Life Aquatic with Steve Zissou,2004,7.3,187352,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Film,R,Moderate,Mild,Moderate,Moderate,Mild
1568,Men in Black 3,2012,6.8,346992,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1582,RED 2,2013,6.6,165555,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,Film,PG-13,None,Moderate,Moderate,Mild,Mild
1583,Men in Black: International,2019,5.6,123539,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,Film,PG-13,Mild,Mild,Mild,Mild,Mild
1584,Pokémon: Detective Pikachu,2019,6.6,150485,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,Film,PG,None,Mild,Mild,Mild,Mild
1692,Romancing the Stone,1984,6.9,88373,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Film,PG,Mild,Moderate,Mild,Mild,Mild
1697,Austin Powers in Goldmember,2002,6.2,202335,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Film,PG-13,Moderate,Moderate,Moderate,Mild,Mild
1738,The Mask of Zorro,1998,6.8,175923,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1830,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.7,35606,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Film,PG,Mild,Mild,None,None,Moderate
1851,Teenage Mutant Ninja Turtles,2014,5.8,205372,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Film,PG-13,None,Mild,Mild,None,Mild
1859,Spy Kids 3: Game Over,2003,4.3,57778,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Film,PG,None,Mild,None,None,Mild
1943,Sonic the Hedgehog 2,2022,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
2042,Now You See Me 2,2016,6.5,266626,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,Film,PG-13,None,Mild,Moderate,Mild,Mild
2050,Guardians of the Galaxy Vol. 3,2023,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
2168,Last Action Hero,1993,6.4,144648,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
2228,Colossal,2016,6.2,62203,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,Film,R,None,Moderate,Moderate,Moderate,Mild
2250,The Interview,2014,6.5,317400,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Film,R,Moderate,Severe,Severe,Moderate,Moderate
2287,Street Fighter,1994,4,69538,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Film,PG-13,None,Mild,Mild,None,Mild
2310,Thunder Force,2021,4.4,37594,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Film,PG-13,Mild,Mild,Mild,Mild,Mild
2334,The Spy Who Dumped Me,2018,6.1,73885,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,Film,R,Moderate,Moderate,Severe,Mild,Mild
2340,Dora and the Lost City of Gold,2019,6.1,28035,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Film,PG,None,Mild,Mild,Mild,Mild
2386,Journey 2: The Mysterious Island,2012,5.8,98266,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Film,PG,None,None,None,None,Mild
2428,Howard the Duck,1986,4.7,45387,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Film,PG,Moderate,Mild,Mild,Mild,Mild
2520,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,88362,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Film,PG-13,None,Moderate,Mild,Mild,Mild
2576,Jay and Silent Bob Reboot,2019,5.7,23109,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Film,R,Mild,Mild,Severe,Severe,None
2670,Crocodile Dundee,1986,6.6,99336,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Film,PG-13,Mild,Mild,Mild,Moderate,Mild
2699,George of the Jungle,1997,5.5,74855,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,Film,PG,Mild,Mild,None,Mild,Mild
2727,Smokey and the Bandit,1977,7,48070,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG,Mild,Mild,Moderate,Mild,None
2738,The Ridiculous 6,2015,4.8,46822,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Film,TV-14,Moderate,Moderate,Moderate,Mild,Mild
2741,The Brothers Grimm,2005,5.9,118683,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG-13,None,Moderate,Mild,Mild,Moderate
2875,R.I.P.D.,2013,5.6,124870,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
2925,Attack the Block,2011,6.7,104078,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Film,R,Mild,Severe,Severe,Severe,Moderate
2935,Gwendoline,1984,5.3,2858,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Film,R,Moderate,Moderate,Mild,Mild,Mild
2939,It's a Mad Mad Mad Mad World,1963,7.5,39857,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Film,G,None,Mild,None,Mild,None
2970,Speed Racer,2008,6,71302,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Film,PG,None,Mild,Mild,None,Mild
2992,Zathura: A Space Adventure,2005,6.2,98983,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Film,PG,None,Mild,Mild,None,Moderate
3019,The Three Musketeers,1993,6.4,52927,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Film,PG,Mild,Moderate,Mild,Mild,Moderate
3087,Spy Kids 2: Island of Lost Dreams,2002,5.2,64885,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Film,PG,None,Mild,Mild,Mild,Mild
3105,Rat Race,2001,6.4,112517,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Film,PG-13,Mild,Mild,Moderate,Mild,None
3158,The Golden Child,1986,6,54371,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
3200,Get Smart,2008,6.5,210717,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Film,PG-13,Mild,Mild,Mild,None,Mild
3217,Small Soldiers,1998,6.2,96238,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Film,PG-13,None,Mild,Mild,Mild,Mild
3250,Shazam! Fury of the Gods,2023,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
3361,Ant-Man and the Wasp: Quantumania,2023,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
3503,Le dernier mercenaire,2021,5.3,7086,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Film,TV-MA,Mild,Moderate,Moderate,Mild,Mild
3587,Smokey and the Bandit,1977,7,48070,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG,Mild,Mild,Moderate,Mild,None
3598,The Ridiculous 6,2015,4.8,46822,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Film,TV-14,Moderate,Moderate,Moderate,Mild,Mild
3601,The Brothers Grimm,2005,5.9,118683,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG-13,None,Moderate,Mild,Mild,Moderate
3735,R.I.P.D.,2013,5.6,124870,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
3785,Attack the Block,2011,6.7,104078,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Film,R,Mild,Severe,Severe,Severe,Moderate
3795,Gwendoline,1984,5.3,2858,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Film,R,Moderate,Moderate,Mild,Mild,Mild
3799,It's a Mad Mad Mad Mad World,1963,7.5,39857,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Film,G,None,Mild,None,Mild,None
3830,Speed Racer,2008,6,71302,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Film,PG,None,Mild,Mild,None,Mild
3852,Zathura: A Space Adventure,2005,6.2,98983,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Film,PG,None,Mild,Mild,None,Moderate
3879,The Three Musketeers,1993,6.4,52927,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Film,PG,Mild,Moderate,Mild,Mild,Moderate
3947,Spy Kids 2: Island of Lost Dreams,2002,5.2,64885,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Film,PG,None,Mild,Mild,Mild,Mild
3965,Rat Race,2001,6.4,112517,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Film,PG-13,Mild,Mild,Moderate,Mild,None
4018,The Golden Child,1986,6,54371,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
4060,Get Smart,2008,6.5,210717,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Film,PG-13,Mild,Mild,Mild,None,Mild
4077,Small Soldiers,1998,6.2,96238,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Film,PG-13,None,Mild,Mild,Mild,Mild
4110,Shazam! Fury of the Gods,2023,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
4221,Ant-Man and the Wasp: Quantumania,2023,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
4363,Le dernier mercenaire,2021,5.3,7086,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Film,TV-MA,Mild,Moderate,Moderate,Mild,Mild
48,Kate,2021,6.3,41301,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Film,R,Mild,Severe,Severe,Mild,Moderate
61,F9,2021,5.2,97696,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,Film,PG-13,None,Moderate,Mild,Mild,Moderate
180,The World Is Not Enough,1999,6.4,194551,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,Film,PG-13,Moderate,Moderate,Mild,Mild,Moderate
433,Baywatch,2004,5.3,26458,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
831,Enola Holmes,2020,6.6,150248,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,Film,PG-13,None,Mild,None,None,Mild
1348,The Fate of the Furious,2017,6.6,219871,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,Film,PG-13,Mild,Moderate,Moderate,Mild,Moderate
1461,Inferno,2016,6.2,167593,"Action, Adventure, Crime",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,None,Moderate,Mild,None,Moderate
